name,canonical_url,language,country,lead_type,audience_size,last_active,evidence_url,topic,personalization_note,official_contact_page_url,verification_status
Concertation Nationale des Organisations Paysannes du Burundi (CNOP-Burundi),https://www.facebook.com/cnopburundi.developpement,English/Multilingual,Burundi,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Concertation Nationale des Organisations Paysannes du Burundi (CNOP-Burundi)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.facebook.com/cnopburundi.developpement,verified_current_official_member_directory; contact_surface_needs_manual_review
Cambodian Farmer Federation Association of Agricultural Producers (CFAP),https://cfap-cambodia.org,English/Multilingual,Cambodia,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Cambodian Farmer Federation Association of Agricultural Producers (CFAP)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://cfap-cambodia.org,verified_current_official_member_directory; contact_surface_needs_manual_review
Canadian Federation of Agriculture (CFA-FCA),http://www.cfa-fca.ca,English/French,Canada,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Canadian Federation of Agriculture (CFA-FCA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.cfa-fca.ca,verified_current_official_member_directory; contact_surface_needs_manual_review
Hrvatska Poljoprivredna Komora HPK (Croatian Chamber of Agriculture),http://www.komora.hr,Croatian,Croatia,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Hrvatska Poljoprivredna Komora HPK (Croatian Chamber of Agriculture)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.komora.hr,verified_current_official_member_directory; contact_surface_needs_manual_review
Kıbrıs Türk Çiftçiler Birliği,https://www.ciftcilerbirligi.org/iletisim,Greek/Turkish,Cyprus,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Kıbrıs Türk Çiftçiler Birliği's farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.ciftcilerbirligi.org/iletisim,verified_current_official_member_directory; contact_surface_needs_manual_review
Agrární Komora České Republiky - AKCR (Czech Agrarian Chamber),http://www.agrocr.cz,Czech,Czech Republic,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Agrární Komora České Republiky - AKCR (Czech Agrarian Chamber)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.agrocr.cz,verified_current_official_member_directory; contact_surface_needs_manual_review
Landbrug & Fødevarer,https://agricultureandfood.dk,Danish/English,Denmark,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Landbrug & Fødevarer's farmer representation and market access community build trusted professional identity and direct buyer connections.,https://agricultureandfood.dk,verified_current_official_member_directory; contact_surface_needs_manual_review
Confédération Nationale des Producteurs Agricoles du Congo (CONAPAC),https://conapacrdc.org/,French,Dr Congo,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Confédération Nationale des Producteurs Agricoles du Congo (CONAPAC)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://conapacrdc.org/,verified_current_official_member_directory; contact_surface_needs_manual_review
Eastern Africa Farmers Federation,https://eaffu.org,English/Swahili,East Africa,farmer_association_group,,2026-08-17,https://eaffu.org/news,regional farmer federation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Eastern Africa Farmers Federation's regional farmer federation community build trusted professional identity and direct buyer connections.,https://eaffu.org/contact-us,verified_official_site_and_public_contact_surface; no_contact_values_collected
"Eesti Põllumajandus-Kaubanduskoda - EPKK (Estonian Chamber of Agriculture and Commerce
Estonian Farmers Organisations and Chamber of Agriculture and Commerce)",http://www.epkk.ee,Estonian,Estonia,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,"FarmerBook's professional farmer profiles and commission-free produce marketplace could help Eesti Põllumajandus-Kaubanduskoda - EPKK (Estonian Chamber of Agriculture and Commerce
Estonian Farmers Organisations and Chamber of Agriculture and Commerce)'s farmer representation and market access community build trusted professional identity and direct buyer connections.",http://www.epkk.ee,verified_current_official_member_directory; contact_surface_needs_manual_review
CEJA European Council of Young Farmers,https://www.ceja.eu,English/Multilingual,Europe,farmer_association_group,,2026-08-17,https://www.ceja.eu/news,young farmer representation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help CEJA European Council of Young Farmers's young farmer representation community build trusted professional identity and direct buyer connections.,https://www.ceja.eu/contact,verified_official_site_and_public_contact_surface; no_contact_values_collected
Maa- ja metsätaloustuottajain Keskusliitto (MTK),https://www.mtk.fi,Finnish/Swedish,Finland,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Maa- ja metsätaloustuottajain Keskusliitto (MTK)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.mtk.fi,verified_current_official_member_directory; contact_surface_needs_manual_review
Fédération Nationale des Syndicats d’Exploitants Agricoles (FNSEA),https://www.fnsea.fr,French,France,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Fédération Nationale des Syndicats d’Exploitants Agricoles (FNSEA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.fnsea.fr,verified_current_official_member_directory; contact_surface_needs_manual_review
Georgian Farmers’ Association (GFA),https://gfa.org.ge/,Georgian,Georgia,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Georgian Farmers’ Association (GFA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://gfa.org.ge/,verified_current_official_member_directory; contact_surface_needs_manual_review
Deutscher Bauernverband e.V. (DBV),https://www.bauernverband.de,German,Germany,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Deutscher Bauernverband e.V. (DBV)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.bauernverband.de,verified_current_official_member_directory; contact_surface_needs_manual_review
Coalition of Farmers Ghana (COFAG),https://www.facebook.com/cofaghana/,English,Ghana,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Coalition of Farmers Ghana (COFAG)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.facebook.com/cofaghana/,verified_current_official_member_directory; contact_surface_needs_manual_review
Global Farmer Network,https://www.globalfarmernetwork.org/,English/Multilingual,Global,farmer_association_group,,2026-08-17,https://www.globalfarmernetwork.org/blog,farmer-to-farmer global network,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Global Farmer Network's farmer-to-farmer global network community build trusted professional identity and direct buyer connections.,https://www.globalfarmernetwork.org/contact-us,verified_official_site_and_public_contact_surface; no_contact_values_collected
GAIA  EPICHEIREIN,http://www.c-gaia.gr,Greek,Greece,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help GAIA  EPICHEIREIN's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.c-gaia.gr,verified_current_official_member_directory; contact_surface_needs_manual_review
Organisation Agricole de Développement pour la Production des Paysans Haïtiens (OADEPROPAH-Haiti),http://oadepropahhaiti.org,French/Haitian Creole,Haiti,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Organisation Agricole de Développement pour la Production des Paysans Haïtiens (OADEPROPAH-Haiti)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://oadepropahhaiti.org,verified_current_official_member_directory; contact_surface_needs_manual_review
Nemzeti Agrárgazdasági Kamara  -  HCA (Hungarian Chamber of Agriculture),http://www.nak.hu,English/Multilingual,Hungary,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Nemzeti Agrárgazdasági Kamara  -  HCA (Hungarian Chamber of Agriculture)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.nak.hu,verified_current_official_member_directory; contact_surface_needs_manual_review
Irish Farmers’ Association (IFA),https://www.ifa.ie,English,Ireland,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Irish Farmers’ Association (IFA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.ifa.ie,verified_current_official_member_directory; contact_surface_needs_manual_review
Associazione Giovani Imprenditori Agricoli (AGIA),https://www.cia.it/associazioni-cia/agia/,Italian,Italy,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Associazione Giovani Imprenditori Agricoli (AGIA)'s young farmers community build trusted professional identity and direct buyer connections.,https://www.cia.it/associazioni-cia/agia/,verified_current_official_member_directory; contact_surface_needs_manual_review
JA Zenchu,https://www.zenchu-ja.or.jp,Japanese,Japan,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help JA Zenchu's farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.zenchu-ja.or.jp,verified_current_official_member_directory; contact_surface_needs_manual_review
Kenya National Farmers’ Federation (KENAFF),https://www.kenaff.org,English/Swahili,Kenya,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Kenya National Farmers’ Federation (KENAFF)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.kenaff.org,verified_current_official_member_directory; contact_surface_needs_manual_review
Latvian Agricultural Organization Cooperation Council  - LAOCC (LOSP) (Lauksaimnieku organizāciju sadarbības padome (LOSP)),http://www.losp.lv,Latvian,Latvia,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,agricultural cooperatives,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Latvian Agricultural Organization Cooperation Council  - LAOCC (LOSP) (Lauksaimnieku organizāciju sadarbības padome (LOSP))'s agricultural cooperatives community build trusted professional identity and direct buyer connections.,http://www.losp.lv,verified_current_official_member_directory; contact_surface_needs_manual_review
Lietuvos Respublikos žemės ūkio rūmai  - LRŽŪR ((Chamber of Agriculture of the Republic of Lithuania)),http://www.lus.lt,Lithuanian,Lithuania,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Lietuvos Respublikos žemės ūkio rūmai  - LRŽŪR ((Chamber of Agriculture of the Republic of Lithuania))'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.lus.lt,verified_current_official_member_directory; contact_surface_needs_manual_review
Baueren Allianz,https://www.facebook.com/BauerenAllianz/,Luxembourgish/French/German,Luxembourg,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Baueren Allianz's farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.facebook.com/BauerenAllianz/,verified_current_official_member_directory; contact_surface_needs_manual_review
Coalition Paysanne de Madagascar (FTM/CPM),https://www.cpm.mg/,English/Multilingual,Madagascar,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Coalition Paysanne de Madagascar (FTM/CPM)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.cpm.mg/,verified_current_official_member_directory; contact_surface_needs_manual_review
Farmers Union of Malawi (FUM),https://www.facebook.com/@farmersunionmw/,English/Multilingual,Malawi,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Farmers Union of Malawi (FUM)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.facebook.com/@farmersunionmw/,verified_current_official_member_directory; contact_surface_needs_manual_review
Koperattivi Malta,http://www.cooperatives-malta.coop,English/Maltese,Malta,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Koperattivi Malta's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.cooperatives-malta.coop,verified_current_official_member_directory; contact_surface_needs_manual_review
F.A.L.C.O.N. Association,https://falconcitizenleague736158798.wordpress.com,English/French,Mauritius,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help F.A.L.C.O.N. Association's farmer representation and market access community build trusted professional identity and direct buyer connections.,https://falconcitizenleague736158798.wordpress.com,verified_current_official_member_directory; contact_surface_needs_manual_review
Land- en Tuinbouw Organisatie Nederland (LTO Nederland),http://www.lto.nl,Dutch,Netherlands,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Land- en Tuinbouw Organisatie Nederland (LTO Nederland)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.lto.nl,verified_current_official_member_directory; contact_surface_needs_manual_review
Beef + Lamb New Zealand Ltd,https://beeflambnz.com/,English,New Zealand,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,livestock producers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Beef + Lamb New Zealand Ltd's livestock producers community build trusted professional identity and direct buyer connections.,https://beeflambnz.com/,verified_current_official_member_directory; contact_surface_needs_manual_review
Ulster Farmers Union,https://www.ufuni.org,English,Northern Ireland,farmer_association_group,,2026-08-17,https://www.ufuni.org/news,farmer representation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Ulster Farmers Union's farmer representation community build trusted professional identity and direct buyer connections.,https://www.ufuni.org/contact-us,verified_official_site_and_public_contact_surface; no_contact_values_collected
Norges Bondelag,https://www.bondelaget.no,Norwegian,Norway,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Norges Bondelag's farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.bondelaget.no,verified_current_official_member_directory; contact_surface_needs_manual_review
PAKISAMA,https://www.pakisama.com/,English/Filipino,Philippines,farmer_association_group,,2026-08-17,https://www.pakisama.com/news-and-projects/,smallholder farmer confederation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help PAKISAMA's smallholder farmer confederation community build trusted professional identity and direct buyer connections.,https://www.pakisama.com/old-contact/,verified_official_site_and_public_contact_surface; no_contact_values_collected
Krajowa Rada Izb Rolniczych (KRIR),http://www.krir.pl/,Polish,Poland,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Krajowa Rada Izb Rolniczych (KRIR)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.krir.pl/,verified_current_official_member_directory; contact_surface_needs_manual_review
Confederação dos Agricultores de Portugal (CAP),https://cap.pt/,Portuguese,Portugal,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Confederação dos Agricultores de Portugal (CAP)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://cap.pt/,verified_current_official_member_directory; contact_surface_needs_manual_review
Association of Peasant Farms and Agricultural Cooperatives of Russia (AKKOR),https://www.akkor.ru,Russian,Russia,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,agricultural cooperatives,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Association of Peasant Farms and Agricultural Cooperatives of Russia (AKKOR)'s agricultural cooperatives community build trusted professional identity and direct buyer connections.,https://www.akkor.ru,verified_current_official_member_directory; contact_surface_needs_manual_review
Association of Slovak Young Farmers (ASYF),https://www.asyf.sk/,Slovak,Slovakia,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Association of Slovak Young Farmers (ASYF)'s young farmers community build trusted professional identity and direct buyer connections.,https://www.asyf.sk/,verified_current_official_member_directory; contact_surface_needs_manual_review
Kmetijsko Gozdarska  Zbornica Slovenije  - KGZS (Chamber of Agriculture and Forestry of Slovenia - CAFS),http://www.kgzs.si,Slovenian,Slovenia,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Kmetijsko Gozdarska  Zbornica Slovenije  - KGZS (Chamber of Agriculture and Forestry of Slovenia - CAFS)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.kgzs.si,verified_current_official_member_directory; contact_surface_needs_manual_review
African Farmers Association of South Africa (AFASA),https://afasa.org.za,English,South Africa,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help African Farmers Association of South Africa (AFASA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://afasa.org.za,verified_current_official_member_directory; contact_surface_needs_manual_review
Southern African Confederation of Agricultural Unions,https://sacau.org,English/Multilingual,Southern Africa,farmer_association_group,,2026-08-17,https://sacau.org/category/news/,regional agricultural unions,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Southern African Confederation of Agricultural Unions's regional agricultural unions community build trusted professional identity and direct buyer connections.,https://sacau.org/contact-us/,verified_official_site_and_public_contact_surface; no_contact_values_collected
UPA JOVEN,https://www.facebook.com/upajoven/,Spanish,Spain,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help UPA JOVEN's young farmers community build trusted professional identity and direct buyer connections.,https://www.facebook.com/upajoven/,verified_current_official_member_directory; contact_surface_needs_manual_review
Lantbrukarnas Riksförbund (LRF),https://www.lrf.se,Swedish,Sweden,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Lantbrukarnas Riksförbund (LRF)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.lrf.se,verified_current_official_member_directory; contact_surface_needs_manual_review
Schweizer Bauernverband (SBV),https://www.sbv-usp.ch/de/,German/French/Italian,Switzerland,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Schweizer Bauernverband (SBV)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.sbv-usp.ch/de/,verified_current_official_member_directory; contact_surface_needs_manual_review
Tanzania Horticultural Association,https://taha.or.tz/,Swahili/English,Tanzania,farmer_association_group,,2026-08-17,https://taha.or.tz/,horticulture producers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Tanzania Horticultural Association's horticulture producers community build trusted professional identity and direct buyer connections.,https://taha.or.tz/contact-us/,verified_official_site_and_public_contact_surface; no_contact_values_collected
Union Tunisienne de l’Agriculture et de la Pêche (UTAP),http://www.utap.org.tn/language/fr/,Arabic/French,Tunisia,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Union Tunisienne de l’Agriculture et de la Pêche (UTAP)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.utap.org.tn/language/fr/,verified_current_official_member_directory; contact_surface_needs_manual_review
Tom Pemberton Farm Life,https://www.youtube.com/channel/UCuNIKo9EMJZ_FdZfGnM9G1w,English,UK,youtube_creator,,2026-08-17,https://www.youtube.com/channel/UCuNIKo9EMJZ_FdZfGnM9G1w/videos,dairy farming and farm retail,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Tom Pemberton Farm Life's dairy farming and farm retail community build trusted professional identity and direct buyer connections.,https://www.pembertonsfarmshop.co.uk/tpfarmlife,verified_creator_site_and_official_youtube; no_contact_values_collected
Farmer Veteran Coalition,https://farmvetco.org,English,USA,farmer_association_group,,2026-08-17,https://farmvetco.org/stories/,farmer veterans,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Farmer Veteran Coalition's farmer veterans community build trusted professional identity and direct buyer connections.,https://farmvetco.org/about-us/contact-us-2/,verified_official_site_and_public_contact_surface; no_contact_values_collected
National Alliance of Agricultural Co-operatives in Uganda (NAAC),https://naacug.org/,English,Uganda,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help National Alliance of Agricultural Co-operatives in Uganda (NAAC)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://naacug.org/,verified_current_official_member_directory; contact_surface_needs_manual_review
UK National Farmers’ Union (UK NFU),https://www.nfuonline.com,English/Multilingual,Uk,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help UK National Farmers’ Union (UK NFU)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.nfuonline.com,verified_current_official_member_directory; contact_surface_needs_manual_review
US National Farmers Union (US NFU),https://nfu.org,English/Multilingual,Usa,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help US National Farmers Union (US NFU)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://nfu.org,verified_current_official_member_directory; contact_surface_needs_manual_review
ROPPA,https://roppa-afrique.org,English/Multilingual,West Africa,farmer_association_group,,2026-08-17,https://roppa-afrique.org/blog/,smallholder producer organisations,FarmerBook's professional farmer profiles and commission-free produce marketplace could help ROPPA's smallholder producer organisations community build trusted professional identity and direct buyer connections.,https://roppa-afrique.org/contact-us/,verified_official_site_and_public_contact_surface; no_contact_values_collected
Commercial Farmers’ Union of Zimbabwe (CFU),http://www.cfuzim.org,English,Zimbabwe,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Commercial Farmers’ Union of Zimbabwe (CFU)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.cfuzim.org,verified_current_official_member_directory; contact_surface_needs_manual_review
Pan African Farmers Organisation,https://pafo-africa.org,English/Multilingual,Africa,farmer_association_group,,2026-08-17,https://pafo-africa.org/newsletter-4,continental farmer representation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Pan African Farmers Organisation's continental farmer representation community build trusted professional identity and direct buyer connections.,https://pafo-africa.org,verified_official_site_and_public_contact_surface; no_contact_values_collected
