name,canonical_url,priority_tier,priority_reason,language,country,lead_type,audience_size,last_active,evidence_url,topic,personalization_note,official_contact_page_url,source_file,verification_status
ROPPA,https://roppa-afrique.org/,2_sustainable_smallholder,Sustainable or smallholder farming focus,English/Multilingual,West Africa,farmer_association_group,,2026-08-17,https://roppa-afrique.org/blog,smallholder producer organisations,FarmerBook's professional farmer profiles and commission-free produce marketplace could help ROPPA's smallholder producer organisations community build trusted professional identity and direct buyer connections.,https://roppa-afrique.org/contact-us,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Shamba Shape Up,https://youtube.com/channel/UCobyLKYulGSTe0ZZb4ILjDg,2_sustainable_smallholder,Sustainable or smallholder farming focus,English/Swahili,East Africa,youtube_creator,,2026-08-17,https://youtube.com/channel/UCobyLKYulGSTe0ZZb4ILjDg/videos,smallholder farmer education,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Shamba Shape Up's smallholder farmer education community build trusted professional identity and direct buyer connections.,https://shambashapeup.com/about/partner-us,international_leads.csv,verified_creator_site_and_official_youtube; no_contact_values_collected
Association of Peasant Farms and Agricultural Cooperatives of Russia (AKKOR),https://akkor.ru/,2_sustainable_smallholder,Sustainable or smallholder farming focus,Russian,Russia,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,agricultural cooperatives,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Association of Peasant Farms and Agricultural Cooperatives of Russia (AKKOR)'s agricultural cooperatives community build trusted professional identity and direct buyer connections.,https://akkor.ru/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Union Tunisienne de l’Agriculture et de la Pêche (UTAP),http://utap.org.tn/language/fr,3_general_farming,General farming relevance,Arabic/French,Tunisia,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Union Tunisienne de l’Agriculture et de la Pêche (UTAP)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://utap.org.tn/language/fr,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Hrvatska Poljoprivredna Komora HPK (Croatian Chamber of Agriculture),http://komora.hr/,3_general_farming,General farming relevance,Croatian,Croatia,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Hrvatska Poljoprivredna Komora HPK (Croatian Chamber of Agriculture)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://komora.hr/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Agrární Komora České Republiky - AKCR (Czech Agrarian Chamber),http://agrocr.cz/,3_general_farming,General farming relevance,Czech,Czech Republic,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Agrární Komora České Republiky - AKCR (Czech Agrarian Chamber)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://agrocr.cz/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Landbrug & Fødevarer,https://agricultureandfood.dk/,3_general_farming,General farming relevance,Danish/English,Denmark,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Landbrug & Fødevarer's farmer representation and market access community build trusted professional identity and direct buyer connections.,https://agricultureandfood.dk/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Landbrug & Fødevarer -  Danish Agriculture and Food Council - DAFC,http://lf.dk/,3_general_farming,General farming relevance,Danish/English,Denmark,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Landbrug & Fødevarer -  Danish Agriculture and Food Council - DAFC's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://lf.dk/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Land- en Tuinbouw Organisatie Nederland (LTO Nederland),http://lto.nl/,3_general_farming,General farming relevance,Dutch,Netherlands,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Land- en Tuinbouw Organisatie Nederland (LTO Nederland)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://lto.nl/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Boerenbond (BB),https://boerenbond.be/,3_general_farming,General farming relevance,Dutch/French,Belgium,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Boerenbond (BB)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://boerenbond.be/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Groene Kring,http://groenekring.be/,3_general_farming,General farming relevance,Dutch/French,Belgium,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Groene Kring's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://groenekring.be/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
National Farmers’ Federation (NFF),https://nff.org.au/,3_general_farming,General farming relevance,English,Australia,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help National Farmers’ Federation (NFF)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://nff.org.au/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
NSW Farmers,https://nswfarmers.org.au/,3_general_farming,General farming relevance,English,Australia,farmer_association_group,,2026-08-17,https://nswfarmers.org.au/NewsEvents,farmer advocacy and member services,FarmerBook's professional farmer profiles and commission-free produce marketplace could help NSW Farmers's farmer advocacy and member services community build trusted professional identity and direct buyer connections.,https://nswfarmers.org.au/contact-us,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Victorian Farmers Federation,https://vff.org.au/,3_general_farming,General farming relevance,English,Australia,farmer_association_group,,2026-08-17,https://vff.org.au/category/vff-news,state farmer representation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Victorian Farmers Federation's state farmer representation community build trusted professional identity and direct buyer connections.,https://vff.org.au/contact,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Coalition of Farmers Ghana (COFAG),https://facebook.com/cofaghana,3_general_farming,General farming relevance,English,Ghana,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Coalition of Farmers Ghana (COFAG)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://facebook.com/cofaghana,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Peace and Love Young Farmers Association LBG (PLYFA LBG),https://plyfa.org/,3_general_farming,General farming relevance,English,Ghana,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Peace and Love Young Farmers Association LBG (PLYFA LBG)'s young farmers community build trusted professional identity and direct buyer connections.,https://plyfa.org/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Irish Creamery Milk Suppliers Association,https://icmsa.ie/,3_general_farming,General farming relevance,English,Ireland,farmer_association_group,,2026-08-17,https://icmsa.ie/news-and-events,dairy and livestock farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Irish Creamery Milk Suppliers Association's dairy and livestock farmers community build trusted professional identity and direct buyer connections.,https://icmsa.ie/contact-us,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Irish Farmers’ Association (IFA),https://ifa.ie/,3_general_farming,General farming relevance,English,Ireland,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Irish Farmers’ Association (IFA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://ifa.ie/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Beef + Lamb New Zealand Ltd,https://beeflambnz.com/,3_general_farming,General farming relevance,English,New Zealand,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,livestock producers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Beef + Lamb New Zealand Ltd's livestock producers community build trusted professional identity and direct buyer connections.,https://beeflambnz.com/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Federated Farmers of New Zealand,http://fedfarm.org.nz/,3_general_farming,General farming relevance,English,New Zealand,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Federated Farmers of New Zealand's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://fedfarm.org.nz/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Ulster Farmers Union,https://ufuni.org/,3_general_farming,General farming relevance,English,Northern Ireland,farmer_association_group,,2026-08-17,https://ufuni.org/news,farmer representation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Ulster Farmers Union's farmer representation community build trusted professional identity and direct buyer connections.,https://ufuni.org/contact-us,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
African Farmers Association of South Africa (AFASA),https://afasa.org.za/,3_general_farming,General farming relevance,English,South Africa,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help African Farmers Association of South Africa (AFASA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://afasa.org.za/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Southern African Agri Initiative (SAAI),https://saai.org/en,3_general_farming,General farming relevance,English,South Africa,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Southern African Agri Initiative (SAAI)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://saai.org/en,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
National Alliance of Agricultural Co-operatives in Uganda (NAAC),https://naacug.org/,3_general_farming,General farming relevance,English,Uganda,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help National Alliance of Agricultural Co-operatives in Uganda (NAAC)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://naacug.org/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Uganda National Farmers Federation (UNFFE),http://unffe.org.ug/,3_general_farming,General farming relevance,English,Uganda,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Uganda National Farmers Federation (UNFFE)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://unffe.org.ug/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Tom Pemberton Farm Life,https://youtube.com/channel/UCuNIKo9EMJZ_FdZfGnM9G1w,3_general_farming,General farming relevance,English,UK,youtube_creator,,2026-08-17,https://youtube.com/channel/UCuNIKo9EMJZ_FdZfGnM9G1w/videos,dairy farming and farm retail,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Tom Pemberton Farm Life's dairy farming and farm retail community build trusted professional identity and direct buyer connections.,https://pembertonsfarmshop.co.uk/tpfarmlife,international_leads.csv,verified_creator_site_and_official_youtube; no_contact_values_collected
Farmer Veteran Coalition,https://farmvetco.org/,3_general_farming,General farming relevance,English,USA,farmer_association_group,,2026-08-17,https://farmvetco.org/stories,farmer veterans,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Farmer Veteran Coalition's farmer veterans community build trusted professional identity and direct buyer connections.,https://farmvetco.org/about-us/contact-us-2,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Federation of Southern Cooperatives,https://federation.coop/,3_general_farming,General farming relevance,English,USA,farmer_association_group,,2026-08-17,https://federation.coop/news,farmer cooperatives and Black farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Federation of Southern Cooperatives's farmer cooperatives and Black farmers community build trusted professional identity and direct buyer connections.,https://federation.coop/contact,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
How Farms Work,https://youtube.com/user/ryanfun1,3_general_farming,General farming relevance,English,USA,youtube_creator,,2026-08-17,https://youtube.com/user/ryanfun1/videos,practical farm operations and equipment,FarmerBook's professional farmer profiles and commission-free produce marketplace could give How Farms Work's practical-farming audience trusted professional identities and direct buyer connections.,https://howfarmswork.com/contact.html,international_leads.csv,verified_creator_site_and_official_youtube; no_contact_values_collected
Larson Farms,https://youtube.com/channel/UC1oEXMoRAeYu8Vj21F5xzLg,3_general_farming,General farming relevance,English,USA,youtube_creator,,2026-08-17,https://youtube.com/channel/UC1oEXMoRAeYu8Vj21F5xzLg/videos,row crop farming and machinery,FarmerBook's professional farmer profiles and commission-free produce marketplace could give Larson Farms' row-crop audience trusted professional identities and direct buyer connections.,https://larsonfarms.com/,international_leads.csv,verified_creator_site_and_official_youtube; no_contact_values_collected
Millennial Farmer,https://youtube.com/c/MNMillennialFarmer,3_general_farming,General farming relevance,English,USA,youtube_creator,,2026-08-17,https://youtube.com/c/MNMillennialFarmer/videos,row crop farming and public farm education,FarmerBook's professional farmer profiles and commission-free produce marketplace could give Millennial Farmer's farm audience trusted professional identities and direct buyer connections.,https://mnmillennialfarmer.com/sponsorship-opportunities,international_leads.csv,verified_creator_site_and_official_youtube; no_contact_values_collected
Sonne Farms,https://youtube.com/channel/UCSTZGtlBaX5ympBGEnG13Uw,3_general_farming,General farming relevance,English,USA,youtube_creator,,2026-08-17,https://youtube.com/channel/UCSTZGtlBaX5ympBGEnG13Uw/videos,beef cattle and crop farming,FarmerBook's professional farmer profiles and commission-free produce marketplace could give Sonne Farms' livestock-and-crop audience trusted professional identities and direct buyer connections.,https://sonnefarms.com/,international_leads.csv,verified_creator_site_and_official_youtube; no_contact_values_collected
Welker Farms,https://youtube.com/welkerfarmsinc,3_general_farming,General farming relevance,English,USA,youtube_creator,,2026-08-17,https://youtube.com/welkerfarmsinc/videos,large-scale grain farming and machinery,FarmerBook's professional farmer profiles and commission-free produce marketplace could give Welker Farms' grain-farming audience trusted professional identities and direct buyer connections.,https://welkerfarmsinc.com/,international_leads.csv,verified_creator_site_and_official_youtube; no_contact_values_collected
Commercial Farmers’ Union of Zimbabwe (CFU),http://cfuzim.org/,3_general_farming,General farming relevance,English,Zimbabwe,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Commercial Farmers’ Union of Zimbabwe (CFU)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://cfuzim.org/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Zimbabwe Farmers Union (ZFU),http://zfu.org.zw/,3_general_farming,General farming relevance,English,Zimbabwe,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Zimbabwe Farmers Union (ZFU)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://zfu.org.zw/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Canadian Federation of Agriculture (CFA-FCA),http://cfa-fca.ca/,3_general_farming,General farming relevance,English/French,Canada,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Canadian Federation of Agriculture (CFA-FCA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://cfa-fca.ca/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Ontario Federation of Agriculture,https://ofa.on.ca/,3_general_farming,General farming relevance,English/French,Canada,farmer_association_group,,2026-08-17,https://ofa.on.ca/newsroom,provincial agricultural producers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Ontario Federation of Agriculture's provincial agricultural producers community build trusted professional identity and direct buyer connections.,https://ofa.on.ca/contact-us,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Quick Dick McDick,https://youtube.com/channel/UCQCdsHLE7N7HHGlHzYkKmwA,3_general_farming,General farming relevance,English/French,Canada,youtube_creator,,2026-08-17,https://youtube.com/channel/UCQCdsHLE7N7HHGlHzYkKmwA/videos,prairie farming and rural commentary,FarmerBook's professional farmer profiles and commission-free produce marketplace could give Quick Dick McDick's prairie-farming audience trusted professional identities and direct buyer connections.,https://quickdickmcdick.ca/pages/contact-us,international_leads.csv,verified_creator_site_and_official_youtube; no_contact_values_collected
F.A.L.C.O.N. Association,https://falconcitizenleague736158798.wordpress.com/,3_general_farming,General farming relevance,English/French,Mauritius,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help F.A.L.C.O.N. Association's farmer representation and market access community build trusted professional identity and direct buyer connections.,https://falconcitizenleague736158798.wordpress.com/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Koperattivi Malta,http://cooperatives-malta.coop/,3_general_farming,General farming relevance,English/Maltese,Malta,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Koperattivi Malta's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://cooperatives-malta.coop/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
African Forum for Agricultural Advisory Services,https://afaas-africa.org/,3_general_farming,General farming relevance,English/Multilingual,Africa,farmer_association_group,,2026-08-17,https://afaas-africa.org/blog,farmer advisory services and extension,FarmerBook's professional farmer profiles and commission-free produce marketplace could help African Forum for Agricultural Advisory Services's farmer advisory services and extension community build trusted professional identity and direct buyer connections.,https://afaas-africa.org/contact-us,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Fairtrade Africa,https://fairtrade.net/africa-en.html,3_general_farming,General farming relevance,English/Multilingual,Africa,farmer_association_group,,2026-08-17,https://fairtrade.net/africa-en/why-fairtrade/impact/impact-stories-.html,producer networks and fair market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Fairtrade Africa's producer networks and fair market access community build trusted professional identity and direct buyer connections.,https://fairtrade.net/africa-en/contact-us/report-a-concern.html,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Pan African Farmers Organisation,https://pafo-africa.org/,3_general_farming,General farming relevance,English/Multilingual,Africa,farmer_association_group,,2026-08-17,https://pafo-africa.org/newsletter-4,continental farmer representation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Pan African Farmers Organisation's continental farmer representation community build trusted professional identity and direct buyer connections.,https://pafo-africa.org/,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Botswana Farmers Association (BOFA),https://facebook.com/bofabw,3_general_farming,General farming relevance,English/Multilingual,Botswana,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Botswana Farmers Association (BOFA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://facebook.com/bofabw,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Bull Breeding Association Bulgaria (BBAB),https://bbab.bg/?lang=en,3_general_farming,General farming relevance,English/Multilingual,Bulgaria,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Bull Breeding Association Bulgaria (BBAB)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://bbab.bg/?lang=en,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Fédération Nationale des Jeunes Professionnels Agricoles du Faso (FNJPA-F),https://facebook.com/fnjpaf,3_general_farming,General farming relevance,English/Multilingual,Burkina Faso,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Fédération Nationale des Jeunes Professionnels Agricoles du Faso (FNJPA-F)'s young farmers community build trusted professional identity and direct buyer connections.,https://facebook.com/fnjpaf,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Concertation Nationale des Organisations Paysannes du Burundi (CNOP-Burundi),https://facebook.com/cnopburundi.developpement,3_general_farming,General farming relevance,English/Multilingual,Burundi,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Concertation Nationale des Organisations Paysannes du Burundi (CNOP-Burundi)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://facebook.com/cnopburundi.developpement,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Cambodian Farmer Federation Association of Agricultural Producers (CFAP),https://cfap-cambodia.org/,3_general_farming,General farming relevance,English/Multilingual,Cambodia,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Cambodian Farmer Federation Association of Agricultural Producers (CFAP)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://cfap-cambodia.org/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
CEJA European Council of Young Farmers,https://ceja.eu/,3_general_farming,General farming relevance,English/Multilingual,Europe,farmer_association_group,,2026-08-17,https://ceja.eu/news,young farmer representation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help CEJA European Council of Young Farmers's young farmer representation community build trusted professional identity and direct buyer connections.,https://ceja.eu/contact,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
